datahora;assunto;link;texto_complementar
2026-06-21-06-59-05;Ele DESCOBRIU o 5º Gosto Comendo Tofu no YouTube;https://youtube.com/shorts/XWFHOKwKfJ8?si=BVxgPX9an_TyR2gr;
2026-06-21-06-59-20;Sessão de terapia: não negocie o que te desrespeita | Deixe a sua opinião  no YouTube;https://youtu.be/2G1AxMAAuR0?si=BiOhMz5sFlCKLxAI;
2026-06-21-06-59-31;Turbina F-190 H: Gere até 20 kW com a força da água no YouTube;https://youtube.com/shorts/JzGINIT_XXE?si=31rRt1dm65VYcWen;
2026-06-21-06-59-43;A Engenharia Secreta Por Trás de Por Que Você Não Para de Comer no YouTube;https://youtube.com/shorts/qqWHw83o_eM?si=AsSXx0P2boN5ByoV;
2026-06-21-06-59-55;Sem Diploma, Ele PREVIU Tudo em 1945;https://youtube.com/shorts/PQwBiwEomFs?si=_aRpHoGqWpjNxxXH;
2026-06-21-07-00-08;30 Minutos ADICIONAM 2 Anos à Sua Vida no YouTube;https://youtube.com/shorts/2X13NdHy8H8?si=DQ32zUc4SY03hWv2;
2026-06-21-07-00-23;Cuidado você está usando IA errado se não fizer isso antes! conheça o @GensparkProduct no YouTube;https://youtube.com/shorts/cdjkm5n42dw?si=Xtsd39wp7o-PS01W;
2026-06-21-07-00-36;A Diferença entre Um Milhão e Um Bilhão no YouTube;https://youtube.com/shorts/DrZmozPxGSM?si=a-XtUob_wfw5NvAo;
2026-06-21-07-00-49;Robô completou meia-maratona mais rápido que o campeão mundial humano no YouTube;https://youtube.com/shorts/lJ7dKdiJ644?si=WIq28wKezug7eKO0;
2026-06-21-07-00-59;O que te sustenta quando a tempestade chega?;https://www.youtube.com/live/iyxiNnzb71A?si=MFj2BTNX8wjrS9Bp;
2026-06-21-07-01-16;OneRepublic - Counting Stars no YouTube;https://youtu.be/hT_nvWreIhg?si=c2OwSopMNLGXuRQO;
2026-06-21-07-01-31;Pare de cometer esse erro. reforma,obra,construção, façavocemesmo, @pereiraodastintas no YouTube;https://youtube.com/shorts/5mQcAL2uPCo?si=bhqqSUDua7u58d28;
2026-06-21-07-01-43;O que é realmente inteligência artificial?;https://youtube.com/shorts/0hL9yz4jhPs?si=D3fxd8t1YLB88Sgc;
2026-06-21-07-01-54;Chamaram Ele de Inútil Mudou o Mundo no YouTube;https://youtube.com/shorts/A7oW6NWWVjw?si=wcRMuPFLQ-jcPQ0P;
2026-06-21-07-02-06;VISÃO ALÉM DO ALCANCE: qual é o próximo número? no YouTube;https://youtube.com/shorts/dQNko9K8q8E?si=-hrS6fcy28-RKZrp;
2026-06-21-07-02-20;Charlie Chaplin: The Homeless Boy Who Became a Legend || Learn English Through Story Level 1  no YouTube;https://youtu.be/sj7KGWSi4k0?si=ye59WVSAoW9ugune;
2026-06-21-07-02-37;Ele acabou tendo que lidar com muito mais que só uma multa;https://youtube.com/shorts/m_XQ-OPxXcU?si=7wwdWzCDOMd1f_zE;
2026-06-21-07-19-29;IA racista - visão computacional;https://youtube.com/shorts/ddz5pmuyAB8?si=51GLwvw7wzRMSM3U;
2026-06-21-07-27-00;Livro - A abolição do homem;;abolição do homem
2026-06-21-07-28-02;aprendizado guiado gemini google;https://youtu.be/25qZTaHFteI?si=r9l-wu7fkXdnFY8l;
2026-06-21-07-28-46;ias para estudos - aprofundar;https://youtube.com/shorts/66OsES5_jcQ?si=j04dRANd5qDgg3No;Proctor IA - Notebook LM - Gamma IA - Quizlet IA - chat gpt
2026-06-23-12-34-09;No Doubt - Don't Speak (Tradução);https://www.youtube.com/watch?v=uJcfgjZGNIM;Sucessos Traduzidos
2026-06-23-12-35-01;"Veja esse vídeo e mude sua vida" - BABOSEIRA!;https://www.youtube.com/watch?v=-gBpf7_blAA;Julio Lobo
2026-06-23-12-55-22;DENTRO DA MENTE DE UM PROCRASTINADOR  | Tim Urban - TED Talks [Legendado];https://www.youtube.com/watch?v=Ko7yWIXvN9o;Rogério Nichio
2026-06-23-13-02-25;Autoconhecimento não substitui vinculo humano | Deixe a sua opinião;https://www.youtube.com/watch?v=BZJsJPd7dK4;
2026-06-23-13-03-13;A técnica mais subestimada da aprendizagem: Prática de Lembrar (e por que funciona!);https://www.youtube.com/watch?v=8B3wkObYkCs;Dra. Roberta Ekuni
2026-06-24-08-03-26;Robôs chineses agora tem CPF;https://www.youtube.com/watch?v=OkqnlpIfNhA;Lincoln Fracari
2026-06-24-08-03-55;1 Lei SECRETA Governa Toda Língua Humana;https://www.youtube.com/watch?v=AZuGwlK9WCw;A Beleza dos Dados
2026-07-01-11-26-55;A Matéria é Invisível? A Ciência Explica;https://www.youtube.com/watch?v=BNbM8Dp1H54;JM CORTES
2026-07-01-16-47-04;Holoc4usto: Historiador Explica pro Vilela Como Eram Construídos os Campos de Concentração;https://www.youtube.com/watch?v=EwAvJgU5W90;Reproduzindo a História
2026-07-01-16-47-18;Inteligência artificial dentro do seu olho (já é real);https://www.youtube.com/watch?v=lVY9tMscaLI;Izabela Anholett
2026-07-01-16-47-32;28 de junho de 2026;https://www.youtube.com/watch?v=nkeNUcmUENw;Marcello A Capela
2026-07-01-16-47-51;Sapatos e tênis: da porta de casa pra fora? 🥾🏠;https://www.youtube.com/watch?v=4rKvoaArdWQ;BBC News Brasil
2026-07-01-16-48-11;Não deixe o Google saber disso;https://www.youtube.com/watch?v=NowneQtL6F4;Rogério Castro
2026-07-01-16-48-36;Como essa ave voa 11.000 km sem parar;https://www.youtube.com/watch?v=IAa5cICT4N0;Coisas Que Ensinam
2026-07-01-16-48-55;Harvard estudou 75 anos pra descobrir o que forma pessoas de sucesso e a resposta vai te surpreender;https://www.youtube.com/watch?v=cK_baGP-tgk;Filipe Ruga
2026-07-01-16-49-36;A regra dos 3 silêncios... @lamartineposella #regra #silêncio #reflexão #Deus #viral;https://www.youtube.com/watch?v=o1zjIyvLO3s;Leandro Cotrim
2026-07-01-16-51-17;0,12 de Pixel Tudo que Você Ama;https://www.youtube.com/watch?v=ehI2mqYLjMo;A Beleza dos Dados
2026-07-01-17-12-55;Será que jejum é para você?;https://www.youtube.com/watch?v=ti7TWDq_Rt8;Dr Paulo Porto de Melo
2026-07-02-05-52-47;1 Mapa Caçou um Assassino Invisível;https://www.youtube.com/watch?v=KYjVNxnUd38;A Beleza dos Dados
2026-07-03-11-30-56;Filme completo - O amor chega devagar;https://www.youtube.com/watch?v=mtMuyLQ6Iws;filme completo
2026-07-04-14-06-04;"Dopamine Loading" is the EASIEST way to get ADDICTED to studying;https://www.youtube.com/watch?v=jyLXcy5SGd8;Matthew Smith
2026-07-06-06-04-09;MINHA CASA É BLINDADA;https://www.youtube.com/watch?v=hA_VbcgqZ0s;Jesus é o Caminho
2026-07-06-14-56-08;O Método Chinês Que Está Deixando as Crianças Mais Inteligentes;https://www.youtube.com/watch?v=iSo_822jN3s;Lincoln Fracari
2026-07-08-08-39-18;Um Vento Fraco REORGANIZA a Chuva do Mundo;https://www.youtube.com/watch?v=BDF9BxB6gNg;A Beleza dos Dados
2026-07-13-04-13-58;Ele Tecia Seda e CRIOU o Código do Mundo;https://www.youtube.com/watch?v=Ztn0pDeKbsM;A Beleza dos Dados
2026-07-15-09-11-40;Cada Parábola De Jesus Explicada: O Que Cada Uma Significa;https://www.youtube.com/watch?v=dTXn1-CSlQg;Profundamente Simples
2026-07-15-09-12-15;8 Verdades que Vão Economizar Anos de Terapia | Psicologia, Autoconhecimento e Maturidade Emocional;https://www.youtube.com/watch?v=sW_C5vagtuk;Fé Gospel cs
2026-07-15-15-07-37;A melhor solução em kit de tubos termo retráteis com solda para 2026 🤩🔧⚡;https://www.youtube.com/watch?v=uR5XrbKflP8;Agro Pro
2026-07-17-05-27-59;Parei de escrever prompts, agora eu só uso loops.;https://www.youtube.com/watch?v=ZxozKUwmwKE;Deborah Folloni
2026-07-18-05-22-51;Essa skill faz a IA ler seu código e desenhar a arquitetura sozinha (Archify);https://www.youtube.com/watch?v=0NelhyQwP-w;Matheus Battisti - Hora de Codar
2026-07-18-05-23-56;Por que 6 isométricos substituem cada máquina da academia Comprimento alvo;https://www.youtube.com/watch?v=t1On4xdDU14;academia
2026-07-21-20-00-11;"Ninguém é Feito Pra Ninguém";https://www.youtube.com/watch?v=5gatTWVi7wk;Silvio Matos
2026-07-21-20-00-45;Bráulio Bessa - A vida é uma corrida;https://www.youtube.com/watch?v=9NHR7RfoKhY;Warley Ribeiro
2026-07-22-05-51-13;O menino que só tinha uma chance / By Joni Galvão, sócio da SOAP;https://www.youtube.com/watch?v=svMhlBETlTk;Henrique Fernandes
2026-07-22-05-51-45;A vida de Isaac Asimov e a robótica | Nerdologia;https://www.youtube.com/watch?v=kFVB0mmzrvs;Nerdologia
2026-07-22-05-52-35;ENTREVISTA: Diretor-geral da OMC fala sobre renúncia e analisa efeitos da pandemia na globalização;https://www.youtube.com/watch?v=zo2zNstZl1k;O Antagonista
2026-07-22-05-54-48;Por Que Incompetentes se Acham Incríveis | Efeito Dunning-Kruger;https://www.youtube.com/watch?v=sMFxG91bhe8;Eureka!
2026-07-27-05-51-14;Você sabe com quem está falando?;https://www.youtube.com/watch?v=BeCCmlibccE;Mario Sérgio Cortela
2026-07-27-05-52-07;7 Nós Mais Úteis que Todo Mundo Deveria Aprender!;https://www.youtube.com/watch?v=_u8A6m1cSkE;Nós em corda
2026-07-27-05-52-42;Eles ERRARAM de Propósito e Você Cedeu;https://www.youtube.com/watch?v=uFoscykCT24;A Beleza dos Dados
2026-07-27-05-53-32;O MUNDO ESTÁ DE CABEÇA PRA BAIXO (O CERTO VIROU ERRADO);https://www.youtube.com/watch?v=MTiq2nvmmiY;Mari Perzi
2026-07-27-06-21-04;O Assassino Enganou Todo Mundo - "O Mentalista" Edit | 180db_ [130] #edit #patrickjane #mentalist;https://www.youtube.com/watch?v=2gpqzkcBAQM;mentalista
2026-07-29-14-31-06;TED - O perigo de uma história única - Chimamanda Adichie - Dublado em português;https://www.youtube.com/watch?v=qDovHZVdyVQ;TED
2026-08-01-09-48-17;“Dê Leite aos Meus Filhos, Eu Conserto Seu Rancho” — O Estranho que a Salvou do Inverno;https://www.youtube.com/watch?v=OZ8YZ-0S8AE;Oeste Livre
2026-08-01-09-48-42;A China realmente come cachorro?;https://www.youtube.com/watch?v=9fzEjCU_k5k;Lincoln Fracari
2026-08-01-09-49-16;Sabia disso?? 🫪👀;https://www.youtube.com/watch?v=vhEUbRyhsH4;Dra. Laine Moser
2026-08-01-09-51-39;AGENTES DE IA: Como CRIAR e USAR para AUTOMATIZAR TUDO em 2026  | Tutorial Completo GRÁTIS;https://www.youtube.com/watch?v=UiK9pl8tKao;Negócios em Mente
2026-08-06-05-53-00;Esse é o sinal mais perigoso de que alguém é narcisista.;https://www.youtube.com/watch?v=LFvezmxxUZ8;Rafael Higuti
2026-08-06-05-53-26;O Prazo MANDA no Trabalho, Não a Tarefa;https://www.youtube.com/watch?v=ri1A8xIuTSI;A Beleza dos Dados
2026-08-06-05-53-56;O Órfão de Quem os Gênios RIRAM em 1807;https://www.youtube.com/watch?v=mFhTMAsBfGU;A Beleza dos Dados
2026-08-06-05-54-17;"DESUMANO", diz Lula sobre morar no Alvorada;https://www.youtube.com/watch?v=9AGX6VqSZh8;Ranking dos Políticos
2026-08-06-05-59-40;Mendonça Messias;https://x.com/i/status/2041629354803798208;Política Mendonça - Messias
2026-08-09-16-58-41;Rocky Balboa e seu tema triste e motivador;https://www.youtube.com/watch?v=SibC6c0c3F8;PianoQueToca · Professor Antônio Vaz Lemes
2026-08-10-05-22-35;A GRANDE POLÊMICA SOBRE CRENTES;https://www.youtube.com/watch?v=CYe8LI7diHA;DESEJOS DE SUCESSO -  Pastor Caio Fábio
2026-08-10-05-26-55;“Eu escolhi você quando você não tinha nada”, disse ela - então o cowboy da montanha revelou sua...;https://www.youtube.com/watch?v=vi7Q_evWHrM;Oeste Livre
2026-08-10-05-28-38;Os cientistas descobriram porque a geração Z emburreceu;https://www.youtube.com/watch?v=qyi0aCxsI7Y;Dr Paulo Porto de Melo
2026-08-15-14-05-17;As Pessoas Te Desejam Sexualmente Por Esse Motivo (mesmo dentro do casamento);https://www.youtube.com/watch?v=MwK-PJjLWM8;Psico Gabriela Cruz
2026-08-19-15-28-11;A ORIGEM DO CORONAVÍRUS EXPLICADA COM DADOS;https://www.youtube.com/watch?v=kjjFjJUj4t4;Olá, Ciência!
2026-08-21-04-30-21;A china vai DESTRUIR as escolas;https://www.youtube.com/watch?v=KQ3qY-PCzqs;Lincoln Fracari
2026-08-21-04-30-41;A China trocou as crianças por um mercado de trilhões;https://www.youtube.com/watch?v=Y_lP81czQmg;Lincoln Fracari
2026-08-21-04-30-58;Comboio de caminhões sem motoristas na China;https://www.youtube.com/watch?v=6I6IlHBWdo8;Lincoln Fracari
2026-08-21-04-31-16;Ele recebeu mais de 50 NÃOS de investidores, hoje comanda uma GIGANTE de 100 bilhões de dólares;https://www.youtube.com/watch?v=YBtIufta2qE;DESfragilizados
2026-08-21-04-31-57;EUA revisam vacinas infantis e geram reação médica;https://www.youtube.com/watch?v=Kqhe-JuXgrQ;TIMES BRASIL
2026-08-21-04-33-18;CAIO FÁBIO RESPONDE PERGUNTA POLÊMICA SOBRE A BÍBLIA;https://www.youtube.com/watch?v=rPCKm1TqZMk;DESEJOS DE SUCESSO
2026-08-21-04-33-39;Ele Transformou Eletricidade em 4 Equações;https://www.youtube.com/watch?v=7blfGen_mLg;A Beleza dos Dados
2026-08-21-04-34-30;Como evitar problemas com carros diesel! #carros #curiosidades #mecanica #diesel;https://www.youtube.com/watch?v=hetXrZ43ifk;TORQX
2026-08-21-04-34-49;Quanto você precisa juntar para parar de trabalhar? Faça essa conta simples;https://www.youtube.com/watch?v=OvssLOnFUt4;A Cara da Riqueza
2026-08-22-05-37-04;A china está prendendo quem vê p*rnô;https://www.youtube.com/watch?v=fXXvuO5Z96o;Lincoln Fracari
2026-08-22-05-41-37;INFELIZMENTE ESSE É O FIM | Clóvis de Barros;https://www.youtube.com/watch?v=JwC5I9tVC54;Clóvis de Barros
2026-08-22-05-56-20;Eles COLHERAM um Defeito por 2 Mil Anos;https://www.youtube.com/watch?v=XVTjVGEI9sA;A Beleza dos Dados
2026-08-23-08-33-28;guia para tupia /serra;https://www.youtube.com/watch?v=u2bqGeUHhTw;ferramenta
2026-08-25-06-28-21;guia multi lados;https://www.youtube.com/watch?v=NEBJKkKoW2E;guia multi lados
